N,Sequential_ms,Parallel_ms,Speedup,Mmap_ms,Threads_ms
10,0.082178,3.791650,0.022,3.869824,1.600342
110,0.410400,2.718213,0.151,2.499609,1.168994
210,0.710205,1.931689,0.368,2.019873,0.828418
310,1.017041,2.220215,0.458,1.971582,1.034521
410,1.265039,2.089990,0.605,1.700391,1.066602
510,1.641553,2.177637,0.754,1.729834,0.957959
610,1.986816,2.126416,0.934,1.566406,1.167383
710,2.225830,2.171680,1.025,1.720312,1.029590
810,2.955566,2.834570,1.043,1.758691,1.356787
910,2.773340,2.234619,1.241,1.742188,1.362646
1010,3.145557,2.210352,1.423,1.759961,1.305664
3010,9.416602,4.252197,2.215,2.110205,3.017187
5010,15.648779,5.531006,2.829,2.135791,4.604004
7010,22.308008,6.480566,3.442,2.293604,6.397168
9010,28.298682,7.598486,3.724,2.661914,7.762305
11010,34.450781,9.108789,3.782,2.418359,9.441211
13010,40.687793,11.307129,3.598,2.857275,11.378027
15010,45.772900,12.824805,3.569,2.689062,10.245410
17010,55.105225,14.745361,3.737,2.957666,13.440771
19010,58.496191,16.400537,3.567,3.076025,15.559814
21010,65.138428,17.231592,3.780,3.148633,15.386182
23010,70.659961,20.586816,3.432,3.416309,17.750098
25010,76.181396,19.603809,3.886,3.581543,17.629980
27010,83.298242,24.277734,3.431,3.427148,18.814453
29010,90.785791,27.387842,3.315,3.729346,22.205811
31010,95.108203,32.161133,2.957,3.721924,22.648926
33010,100.372949,38.997168,2.574,5.290283,21.802979
35010,107.606934,33.848486,3.179,4.406787,21.915430
37010,114.572656,29.062158,3.942,4.222656,24.011182
39010,121.132959,32.424414,3.736,4.821240,26.276563
41010,134.855273,32.212891,4.186,4.639404,30.941016
43010,139.686768,35.518018,3.933,6.036475,34.269141
45010,141.714893,34.683740,4.086,4.897021,33.167773
47010,146.088770,36.379834,4.016,5.098975,30.099414
49010,151.269824,43.193164,3.502,5.352002,30.708789
51010,160.952637,40.013232,4.022,5.493359,36.267822
53010,167.416113,46.806885,3.577,5.456445,33.508691
55010,173.041357,53.020068,3.264,5.499609,35.539209
57010,177.314209,50.752588,3.494,5.986133,35.523486
59010,185.392578,50.155176,3.696,5.880908,41.076025
61010,194.219434,52.098340,3.728,19.504687,40.105127
63010,195.481152,44.595020,4.383,6.156445,44.456152
65010,206.942187,43.082959,4.803,6.488623,40.262207
67010,212.249609,43.959424,4.828,7.431201,46.868750
69010,221.545996,49.943408,4.436,6.367383,46.336914
71010,227.377539,48.194385,4.718,7.448633,49.064404
73010,244.816162,52.795215,4.637,7.223193,45.629883
75010,237.516016,55.579590,4.273,7.472852,50.767773
77010,244.050391,50.738037,4.810,7.534229,49.678955
79010,246.710400,53.876318,4.579,7.371875,51.415186
81010,253.479053,56.123584,4.516,8.290137,53.182812
83010,273.066357,60.550488,4.510,7.957178,55.816016
85010,275.484473,-379.227979,-0.726,8.495752,52.637207
87010,268.187256,60.550732,4.429,7.807422,53.709180
89010,284.107959,60.284668,4.713,8.047217,55.070166
91010,279.327539,71.445215,3.910,7.784033,56.270215
93010,291.252832,67.352539,4.324,8.315234,57.520801
95010,296.833252,70.444482,4.214,8.360889,61.693994
97010,309.884912,72.381689,4.281,8.796582,60.873438
99010,310.387598,70.488525,4.403,9.062207,61.725342
