nWorkers,Sequential_ms,Parallel_ms,Speedup,Mmap_ms,Threads_ms
1,31.307617,33.860937,0.925,1.584082,8.289404
2,31.307617,16.902002,1.852,1.794287,8.244727
4,31.307617,11.403564,2.745,1.891846,6.830957
6,31.307617,9.139941,3.425,2.488379,7.178076
8,31.307617,8.285449,3.779,2.521533,7.146826
10,31.307617,7.577637,4.132,2.606152,6.796631
12,31.307617,7.660547,4.087,2.973975,6.865625
16,31.307617,8.489160,3.688,4.157178,6.929785
20,31.307617,9.479834,3.303,4.457861,7.441357
24,31.307617,9.660645,3.241,5.042822,6.776758
28,31.307617,10.732666,2.917,5.919336,6.852197
32,31.307617,11.488574,2.725,6.936475,6.720557
40,31.307617,12.415771,2.522,6.985791,6.481836
