N,Sequential_ms,Parallel_ms,Speedup,,,,,,,,,,,,,
10,0.107861,3.354736,0.032,,,,,,,,,,,,,
110,0.360352,2.580615,0.14,,,,,,,,,,,,,
210,0.508594,2.277832,0.223,,,,,,,,,,,,,
310,0.62998,2.221826,0.284,,,,,,,,,,,,,
410,0.748633,1.917773,0.39,,,,,,,,,,,,,
510,0.859375,1.97207,0.436,,,,,,,,,,,,,
610,1.024854,1.915137,0.535,,,,,,,,,,,,,
710,1.137354,1.977051,0.575,,,,,,,,,,,,,
810,1.295654,1.904932,0.68,,,,,,,,,,,,,
910,1.404053,1.885156,0.745,,,,,,,,,,,,,
1010,1.518457,1.828564,0.83,,,,,,,,,,,,,
3010,4.38418,2.382227,1.84,,,,,,,,,,,,,
5010,7.267627,2.864795,2.537,,,,,,,,,,,,,
7010,10.291553,3.943652,2.61,,,,,,,,,,,,,
9010,13.267139,4.882471,2.717,,,,,,,,,,,,,
11010,15.949414,4.41958,3.609,,,,,,,,,,,,,
13010,18.774951,5.11543,3.67,,,,,,,,,,,,,
15010,22.243506,6.226074,3.573,,,,,,,,,,,,,
17010,27.151611,6.921777,3.923,,,,,,,,,,,,,
19010,27.650635,6.765723,4.087,,,,,,,,,,,,,
21010,30.677734,7.909277,3.879,,,,,,,,,,,,,
23010,36.265967,8.264648,4.388,,,,,,,,,,,,,
25010,35.958594,8.437793,4.262,,,,,,,,,,,,,
27010,39.683984,9.160791,4.332,,,,,,,,,,,,,
29010,44.875,9.872412,4.545,,,,,,,,,,,,,
31010,44.601025,10.721582,4.16,,,,,,,,,,,,,
33010,50.438086,11.269922,4.475,,,,,,,,,,,,,
35010,51.177344,11.218457,4.562,,,,,,,,,,,,,
37010,55.504248,12.155371,4.566,,,,,,,,,,,,,
39010,57.787695,12.817725,4.508,,,,,,,,,,,,,
41010,60.287646,13.18335,4.573,,,,,,,,,,,,,
43010,65.216602,13.883984,4.697,,,,,,,,,,,,,
45010,66.066406,14.496191,4.558,,,,,,,,,,,,,
47010,69.287012,14.818604,4.676,,,,,,,,,,,,,
49010,72.262598,15.421631,4.686,,,,Parallel_compute outperforms sequential_compute at approximately N = 1010,,,,,,,,,
