n_proc,Sequential_ms,Parallel_ms,Speedup,,
1,4.822412,5.038574,0.957,,
2,4.822412,3.108203,1.552,,
4,4.822412,2.408398,2.002,,
6,4.822412,2.397607,2.011,,
8,4.822412,2.331982,2.068,,
10,4.822412,2.560205,1.884,,
12,4.822412,2.914404,1.655,,
16,4.822412,3.789404,1.273,,
20,4.822412,4.231201,1.14,,
24,4.822412,5.554395,0.868,,
28,4.822412,5.581982,0.864,,
32,4.822412,6.097559,0.791,,
40,4.822412,7.436377,0.648,,
,,,,,
,,,,,
Parallel_compute outperforms sequential_compute at approx. n_proc = 22 ,,,,,
